Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-057100,2019-11,11/12/2019 16:40,Y, , ,1, , 51112,6,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,4435,HARRIS AVE,68, , ,4435,HARRIS,898885.2,1034844
19-056899,2019-11,11/12/2019 16:45,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",6235,WYDOWN BLVD,45, , , , ,876556,1023903
19-056885,2019-11,11/12/2019 17:05,Y, , ,1, , 51130,1,BURGLARY-RESIDENCE/DAY/ATT FORCE ENTRY,4275,LOUISIANA AVE,16, , ,4275,LOUISIANA,893588.6,999675.4
19-056874,2019-11,11/12/2019 17:06,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,3525,HAMPTON AVE,9, , ,3525,HAMPTON,879386.8,1006671
19-056872,2019-11,11/12/2019 17:07,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,N KINGSHIGHWAY BLVD / NATURAL,55, , , , ,891049,1035207
19-056880,2019-11,11/12/2019 17:30,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",4500,N BROADWAY,64, , ,4500,BROADWAY,905164,1033720
19-056877,2019-11,11/12/2019 17:30,Y, , ,1, , 31422,5,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/ATTEMPT,0,DELMAR BLVD / HODIAMONT AVE,46, ,ON SIDEWALK OF NORTHEAST INTERSECTIO, , ,879131.6,1027326
19-056879,2019-11,11/12/2019 17:35,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,BLAIR AVE / E GRAND BLVD,66, , , , ,903970.5,1033492
19-056889,2019-11,11/12/2019 17:46,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,5600,RIDGE AVE,78, , , , ,883653.6,1032021
19-056932,2019-11,11/12/2019 18:00,Y, , ,1, , 64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,245,UNION BLVD,47, , ,2445,UNION,884322.6,1024279
19-056909,2019-11,11/12/2019 18:10,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,0,S 15TH ST / CLARK AVE,36, , , , ,904969.7,1017008
19-056904,2019-11,11/12/2019 18:30,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,5019,ULENA AVE,5, , ,5019,ULENA,889410.1,998676.6
19-056888,2019-11,11/12/2019 18:38,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2812,CHEROKEE ST,19, , , , ,897471.1,1005296
19-056991,2019-11,11/12/2019 19:00,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3238,MORGANFORD RD,15, , ,3238,MORGANFORD,888348.3,1007248
19-056917,2019-11,11/12/2019 19:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,5656,OAKLAND AVE,41,BREW HUB, ,5656,OAKLAND,882152.9,1018203
19-058710,2019-11,11/12/2019 19:00,Y, , ,1, , 64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",275,UNION BLVD,47, , ,275,UNION,884536.7,1024563
19-056989,2019-11,11/12/2019 19:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4252,C D BANKS AVE,58, , ,4252,C D BANKS,892938,1025808
19-056942,2019-11,11/12/2019 19:00,Y, , ,1, , 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2649,ARMAND PL,24, , ,2649,ARMAND,899047.1,1010694
19-056896,2019-11,11/12/2019 19:00,Y, , ,1, , 38111,3,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,0,ARKANSAS AVE / HUMPHREY ST,25, , , , ,894325.3,1006774
19-056903,2019-11,11/12/2019 19:13,Y, , ,1, ,151110,1,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,0,ALASKA AVE / DELOR ST,16, ,CITY STREETS, , ,892466.5,997001.3
19-056893,2019-11,11/12/2019 19:22,Y, , ,1, ,263299,5,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,1965,SEMPLE AVE,50, , , , ,885994.1,1033550
19-056902,2019-11,11/12/2019 19:30,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,2727,N KINGSHIGHWAY BLVD,52,COVENANT HOUSE,COVENANT HOUSE,2727,KINGSHIGHWAY,889447.5,1032841
19-056902,2019-11,11/12/2019 19:30,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,2727,N KINGSHIGHWAY BLVD,52,COVENANT HOUSE,COVENANT HOUSE,2727,KINGSHIGHWAY,889447.5,1032841
19-056898,2019-11,11/12/2019 19:30,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,4533,BLAIR AVE,66, , ,4533,BLAIR,904150.6,1033237
19-056895,2019-11,11/12/2019 19:53,Y, , ,1, ,182250,5,DRUGS-POSSESSION/COCAINE,0,ARLINGTON AVE / RIDGE AVE,78, , , , ,885172.3,1030986
19-057018,2019-11,11/12/2019 20:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,4030,ROBERT AVE,4, , ,4030,ROBERT,884475.8,993093.4
19-056997,2019-11,11/12/2019 20:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,6617,MINNESOTA AVE,1, , ,6617,MINNESOTA,891072.3,991142.2
19-057072,2019-11,11/12/2019 20:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,5430,SOUTHWEST AVE,13,URZI S MARKET, ,5430,SOUTHWEST,883418,1011080
19-056921,2019-11,11/12/2019 20:00,Y, , ,1, , 51212,1,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,4305,VIRGINIA AVE,16, , ,4305,VIRGINIA,893976.6,999674.9
19-056905,2019-11,11/12/2019 20:15,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,209,E GRAND AVE,64, , ,4828,BROADWAY,904878.5,1034267
19-056901,2019-11,11/12/2019 20:29,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,4229,W FARLIN AVE,68, , ,4229,FARLIN,896675.9,1033634
19-056908,2019-11,11/12/2019 20:36,Y, , ,1, , 31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1325,N 10TH ST,62, , ,1325,10TH,908325.8,1021282
19-056952,2019-11,11/12/2019 21:30,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",4362,SHREVE AVE,69, , ,4362,SHREVE,894630.2,1037302
19-057010,2019-11,11/12/2019 21:30,Y, , ,1, , 61701,4,LARCENY-PICKPOCKET UNDER $500,1401,CLARK AVE,36,ENTERPRISE CENTER, , , ,905209.3,1017077
19-056910,2019-11,11/12/2019 21:48,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,0,DR MARTIN LUTHER KING DR / N K,53,CROWN MART GAS STATION, , , ,888326.1,1030363
19-056931,2019-11,11/12/2019 22:00,Y, , ,1, , 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",2144,GEYER AVE,23, , ,2144,GEYER,900593.8,1011823
19-057403,2019-11,11/12/2019 22:00,Y, , ,1, , 73413,5,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48,6143,KINGSBURY AVE,46, , ,6143,KINGSBURY,877893.1,1026609
19-056913,2019-11,11/12/2019 23:05,Y, , ,1, , 64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4440,LINDELL BLVD,38,PIERRE CHOUTEAU, ,4440,LINDELL,889978.6,1022541
19-056929,2019-11,11/12/2019 23:10,Y, , ,1, , 52212,1,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,6217,MORGANFORD RD,5,DOC HAUS BAR & GRILL,@BAR- DOC HAUS,6217,MORGANFORD,884947.3,996642.1
19-056915,2019-11,11/12/2019 23:11,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,8568,RIVERVIEW BLVD,74, , ,8574,RIVERVIEW,893803.3,1048809
19-057423,2019-11,11/12/2019 23:20,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4330,S BROADWAY,17,UNIVERSAL FOODS, ,4330,BROADWAY,896888.7,998983.9
19-056916,2019-11,11/12/2019 23:30,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3601,LINDELL BLVD,77, ,@SLU - JESUIT HALL,3545,LINDELL,896525,1021054
19-057044,2019-11,11/12/2019 23:59,Y, , ,1, , 69602,4,"LARCENY-ALL OTHER $500 - $24,999",4007,N 11TH ST,65, , ,1113,NEWHOUSE,905747.4,1031387
19-058478,2019-11,11/13/2009 23:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,3600,SAMUEL SHEPARD DR,77, , ,3600,SAMUEL SHEPARD,0,0
19-057237,2019-11,11/13/2019 00:01,Y, , ,1, , 91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,5310,N EUCLID AVE,71,LOBBY,@EUCLID PZ,5310,EUCLID,894542.1,1038824
19-057164,2019-11,11/13/2019 00:01,Y, , ,1, , 65701,0,LARCENY-MTR VEH PARTS UNDER $500,0,UNKNOWN,0, , ,5924,PARK,0,0
19-056919,2019-11,11/13/2019 00:15,Y, , ,1, ,263299,1,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,S GRAND BLVD / WALSH ST,1, ,RED LC2D8W, , ,891218.1,997092.9
19-056934,2019-11,11/13/2019 00:30,Y, , ,1, , 64701,6,LARCENY-FROM MTR VEH UNDER $500,6124,N BROADWAY,79, , ,6124,BROADWAY,900558.8,1038456
19-056920,2019-11,11/13/2019 00:58,Y, , ,1, ,241100,5,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,226,N EUCLID AVE,38, ,INSOMNIA COOKIES,226,EUCLID,888295.3,1023302
19-056979,2019-11,11/13/2019 01:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4455,CASTLEMAN AVE,13, , ,4455,CASTLEMAN,888580.6,1013362
19-058353,2019-11,11/13/2019 01:55,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1923,PRAIRIE AVE,59, ,@BAR- MIDTOWN SPORTS BAR,4014,UNION,897907.9,1026605
19-056922,2019-11,11/13/2019 02:20,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3160,MORGANFORD RD,15, , ,3160,MORGANFORD,888462.6,1008239
19-056923,2019-11,11/13/2019 02:30,Y, , ,1, ,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4643,ADKINS AVE,5, , ,4643,ADKINS,887959.4,1000855
19-056925,2019-11,11/13/2019 03:20,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,I 64 EASTBOUND / S KINGSHIGHWA,40, ,ALIAS 40EB/KINGSHIGHWAY, , ,887218.9,1018721
19-059181,2019-11,11/13/2019 04:25,Y, , ,1, , 52212,6,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,7230,N BROADWAY,86,BROTHER AUTO SALES, ,7230,BROADWAY,898393.3,1042355
19-056927,2019-11,11/13/2019 04:43,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,4038,MAGNOLIA AVE,81, ,BLOCK,4000,MAGNOLIA,890086.2,1009696
19-057132,2019-11,11/13/2019 05:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5041,N KINGSHIGHWAY BLVD,71, , ,5041,KINGSHIGHWAY,893361.8,1039351
19-057060,2019-11,11/13/2019 06:10,Y, , ,1, , 51122,0,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,3846,WEBER RD,0, , ,3846,WEBER,883266.3,989634.4
19-057063,2019-11,11/13/2019 06:30,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3219,LAFAYETTE AVE,31, , ,3219,LAFAYETTE,896464.6,1013459
19-056937,2019-11,11/13/2019 06:33,Y, , ,1, , 41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,5604,GRAVOIS AVE,5,7 ELEVEN,BATES/GRAVOIS, , ,885345.8,999210.5
19-056937,2019-11,11/13/2019 06:33,Y, , ,1, , 41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,5604,GRAVOIS AVE,5,7 ELEVEN,BATES/GRAVOIS, , ,885345.8,999210.5
19-056937,2019-11,11/13/2019 06:33,Y, , ,1, , 41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,5604,GRAVOIS AVE,5,7 ELEVEN,BATES/GRAVOIS, , ,885345.8,999210.5
19-056937,2019-11,11/13/2019 06:33,Y, , ,1, , 41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,5604,GRAVOIS AVE,5,7 ELEVEN,BATES/GRAVOIS, , ,885345.8,999210.5
19-056937,2019-11,11/13/2019 06:33,Y, , ,1, , 41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,5604,GRAVOIS AVE,5,7 ELEVEN,BATES/GRAVOIS, , ,885345.8,999210.5
19-056939,2019-11,11/13/2019 06:45,Y, , ,1, , 64601,1,"LARCENY-FROM MTR VEH $500 - $24,999",5315,QUINCY ST,6, , ,5315,QUINCY,880078.5,997321.3
19-057118,2019-11,11/13/2019 06:45,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,7509,S GRAND AVE,4, , ,7509,GRAND,886718.5,990593
19-057057,2019-11,11/13/2019 07:10,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,4640,TYROLEAN AVE,4, , ,4640,TYROLEAN,882064.9,996413.2
19-057053,2019-11,11/13/2019 07:35,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,5300,ARSENAL ST,13, , ,5300,ARSENAL,883530.5,1009029
19-057053,2019-11,11/13/2019 07:35, , , ,-1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,5300,ARSENAL ST,13, , ,5300,ARSENAL,883530.5,1009029
19-058062,2019-11,11/13/2019 08:00,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,4226,N MARKET ST E,57, , ,4226,MARKET,895326.4,1028220
19-056954,2019-11,11/13/2019 08:11,Y, , ,1, ,204100,4,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,1,EADS BRG,35,@EADS BRIDGE, ,1,EADS,911055.5,1018252
19-056949,2019-11,11/13/2019 08:14,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,ETHEL AVE / MCCAUSLAND AVE,44, , ,1,BROOKINGS,875785.4,1018961
19-057064,2019-11,11/13/2019 08:30,Y, , ,1, , 51112,4,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3810,N 23RD ST,65, , ,3810,23RD,903692.3,1029353
19-057025,2019-11,11/13/2019 09:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,918,S VANDEVENTER AVE,37,QUICK TRIP, ,918,VANDEVENTER,892538.1,1017773
19-057217,2019-11,11/13/2019 09:00,Y, , ,1, , 69602,4,"LARCENY-ALL OTHER $500 - $24,999",0,N GARRISON AVE / SAINT LOUIS A,59, , , , ,900404.4,1027137
19-057247,2019-11,11/13/2019 09:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,2642,OHIO AVE,24, , ,2642,OHIO,898709.2,1009097
19-057013,2019-11,11/13/2019 09:00,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2650,CHEROKEE ST,19, , ,2650,CHEROKEE,898448.7,1005146
19-057178,2019-11,11/13/2019 09:14,Y, , ,1, ,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,4553,S BROADWAY,17,PHILLIPS 66,PHILLIPS 66,4553,BROADWAY,896054.1,997504.6
19-057059,2019-11,11/13/2019 09:15,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,5257,SHAW AVE,12, , ,5257,SHAW,884644.8,1013977
19-056974,2019-11,11/13/2019 09:20,Y, , ,1, , 91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,3016,MIAMI ST,19, , ,3016,MIAMI,895972,1003977
19-056981,2019-11,11/13/2019 09:45,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4052,FLAD AVE,27, , ,4052,FLAD,891486,1011793
19-056951,2019-11,11/13/2019 09:45,Y, , ,1, , 71030,2,AUTO THEFT-PERM RETNT/JOY RIDE,4052,FLAD AVE,27, , ,3635,VISTA,891486,1011793
19-057043,2019-11,11/13/2019 10:00,Y, , ,1, , 51122,1,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,4459,WILCOX AVE,5, , ,4459,WILCOX,885338.4,1000870
19-056987,2019-11,11/13/2019 10:03,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3818,OREGON AVE,16, , ,3818,OREGON,896688.4,1002389
19-056987,2019-11,11/13/2019 10:03,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3818,OREGON AVE,16, , ,3818,OREGON,896688.4,1002389
19-057007,2019-11,11/13/2019 10:30,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,200,S TUCKER BLVD,35,JUSTICE CENTER, ,200,TUCKER,906343.9,1016785
19-056998,2019-11,11/13/2019 11:26,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,4367,W FAIRFAX CT,58, , ,4367,FAIRFAX,892170,1026193
19-057089,2019-11,11/13/2019 11:30,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,3625,FRENCH AVE,4, , ,3625,FRENCH,887777.1,992223.4
19-057370,2019-11,11/13/2019 11:30,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5918,LILLIAN AVE,76, ,@ REAR,5918,LILLIAN,888603.8,1043766
19-057002,2019-11,11/13/2019 11:30,Y, , ,1, , 63701,3,LARCENY-SHOPLIFT UNDER $500,3427,S JEFFERSON AVE,19,SAVE-A-LOT GROCERY, , , ,898497.9,1004658
19-056995,2019-11,11/13/2019 11:50,Y, , ,1, ,263299,5,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,DARBY ST / NATURAL BRIDGE AVE,50, , , , ,884576.4,1039657
19-056996,2019-11,11/13/2019 11:59,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING,1234,WASHINGTON AVE,36,LUCAS PARK, , , ,906445.8,1019008
19-057221,2019-11,11/13/2019 11:59,Y, , ,1, , 51321,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/OCCUPIED,3835,MISSOURI AVE,18, , ,3835,MISSOURI,898764.3,1001921
19-057191,2019-11,11/13/2019 12:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,3716,COMSTOCK DR,1, , ,3716,COMSTOCK,884253,989509.8
19-057097,2019-11,11/13/2019 12:00,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,3310,WINNEBAGO ST,19, , ,3310,WINNEBAGO,894637.7,1003513
19-059469,2019-11,11/13/2019 12:00,Y, , ,1, ,101000,6,FORGERY,907,RIVERVIEW BLVD,74, , ,907,RIVERVIEW,896665.4,1052972
19-057000,2019-11,11/13/2019 12:00,Y, , ,1, , 63601,5,"LARCENY-SHOPLIFT $500 - $24,999",3925,LINDELL BLVD,38, , ,3925,LINDELL,894199,1021580
19-057006,2019-11,11/13/2019 12:29,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,MACKLIND AVE / NEOSHO ST,7, , , , ,881843.8,1001997
19-057014,2019-11,11/13/2019 12:40,Y, , ,1, ,263299,3,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,LOUISIANA AVE / OSAGE ST,16, , , , ,894222.5,1001764
19-057005,2019-11,11/13/2019 12:41,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,MCDONALD AVE / S SPRING AVE,15, , , , ,892543.1,1006161
19-057039,2019-11,11/13/2019 12:50,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",2009,HEBERT ST,63,WHITE CASTLE, ,2009,HEBERT,905261.1,1027578
19-057008,2019-11,11/13/2019 12:51,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4949,BARNES JEWISH HOSPITAL PLZ,38, ,@BARNES JEWISH HOSPITAL,4949, ,887396.8,1020150
19-057019,2019-11,11/13/2019 13:20,Y, , ,1, , 91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3109,CHEROKEE ST,19, , ,3109,CHEROKEE,895945.5,1005508
19-057484,2019-11,11/13/2019 13:47,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,3305,RUSSELL AVE,26, , ,3305,RUSSELL,896067.5,1012163
19-057184,2019-11,11/13/2019 14:00,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4464,WALLACE ST,5, , ,1008,LOUGHBOROUGH,885326.9,1001471
19-057091,2019-11,11/13/2019 14:15,Y, , ,1, , 65601,5,"LARCENY-MTR VEH PARTS $500 - $24,999",400,S KINGSHIGHWAY BLVD,38, , ,400,KINGSHIGHWAY,887074.8,1020998
19-057030,2019-11,11/13/2019 14:15,Y, , ,1, ,178200,4,SEX OFFNS-EXPOSURE/EXPOSING PERSON,1100,WASHINGTON AVE,35, ,BUS STIO,1100,WASHINGTON,0,0
19-057056,2019-11,11/13/2019 14:18,Y, , ,1, , 41014,6,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,4708,GREER AVE,55, , , , ,892320.4,1032646
19-057035,2019-11,11/13/2019 14:30,Y, , ,1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,7201,LANSDOWNE AVE,9, ,@METROLINK - SHREWSBURY,7201,LANSDOWNE,872005.1,1004597
19-057070,2019-11,11/13/2019 15:00,Y, , ,1, , 69602,2,"LARCENY-ALL OTHER $500 - $24,999",3410,S KINGSHIGHWAY BLVD,15, , ,3410,KINGSHIGHWAY,885834.1,1006342
19-057279,2019-11,11/13/2019 15:00,Y, , ,1, ,112020,4,FRAUD-CREDIT DEVICE/UNDER $150,919,N JEFFERSON AVE,59, ,@CPD,919,JEFFERSON,902219.7,1021301
19-057040,2019-11,11/13/2019 15:05,Y, , ,1, , 41011,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4100,MERAMEC ST,16,GRAVOIS CAR WASH, ,4111,MERAMEC,889337.4,1003165
19-057040,2019-11,11/13/2019 15:05,Y, , ,1, , 41011,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4100,MERAMEC ST,16,GRAVOIS CAR WASH, ,4111,MERAMEC,889337.4,1003165
19-057292,2019-11,11/13/2019 16:00,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,5741,WELLS AVE,78, , ,5741,WELLS,883123,1033136
19-057306,2019-11,11/13/2019 16:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3689,MONTANA ST,16, , ,3689,MONTANA,892296.5,1001548
19-057062,2019-11,11/13/2019 16:05,Y, , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",8544,N BROADWAY,74, , ,8544,BROADWAY,897570.6,1050618
19-057046,2019-11,11/13/2019 16:15,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN,0,KENNETH PL / RICHARD PL,69, ,ALLEY, , ,895870,1037057
19-057244,2019-11,11/13/2019 16:30,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5816,DRESSELL AVE,70, , ,5816,DRESSELL,885602.6,1039683
19-057065,2019-11,11/13/2019 16:30,Y, , ,1, , 63701,4,LARCENY-SHOPLIFT UNDER $500,3616,NATURAL BRIDGE AVE,59, ,ALDIS,3616,NATURAL BRIDGE,900804.4,1029637
19-057076,2019-11,11/13/2019 16:35,Y, , ,1, , 69703,1,LARCENY-ALL OTH/FRM PRSN/UNDER $500,4880,ALLEMANIA ST,4, , , , ,879565.6,994768.3
19-057061,2019-11,11/13/2019 16:40,Y, , ,1, , 64701,6,LARCENY-FROM MTR VEH UNDER $500,0,JORDAN AVE / RIVERVIEW BLVD,74, , , , ,897016.7,1053087
19-057162,2019-11,11/13/2019 17:00,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,1717,S TUCKER BLVD,33, , ,1717,TUCKER,903954.4,1011980
19-057066,2019-11,11/13/2019 17:17,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING,300,N 4TH ST,35,MANSION HOUSE, ,300,4TH,909633.8,1017651
19-057068,2019-11,11/13/2019 17:20,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,GOODFELLOW BLVD / STRATFORD AV,70, , , , ,886962.4,1042893
19-057260,2019-11,11/13/2019 17:43,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3710,N GRAND BLVD,67, , ,919,JEFFERSON,901258.3,1029801
19-057077,2019-11,11/13/2019 17:50,Y, , ,1, ,182250,5,DRUGS-POSSESSION/COCAINE,5145,ENRIGHT AVE,51, , ,5100,ENRIGHT N,886321.5,1026913
19-057220,2019-11,11/13/2019 18:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,6617,VIRGINIA AVE,1, , ,6617,VIRGINIA,890511,991750.4
19-057175,2019-11,11/13/2019 18:00,Y, , ,1, , 52322,5,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,1954,GOODFELLOW BLVD,50, , ,1954,GOODFELLOW,883768.2,1034590
19-057090,2019-11,11/13/2019 18:00,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2724,CHEROKEE ST,19, , ,2724,CHEROKEE,897785.9,1005248
19-057073,2019-11,11/13/2019 18:00,Y, , ,1, , 91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4161,ST LOUIS AVE,56, , ,4161,ST LOUIS,896420.7,1029766
19-057810,2019-11,11/13/2019 18:30,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,4170,MANCHESTER AVE,39, , ,4170,MANCHESTER,890761.6,1017357
19-057083,2019-11,11/13/2019 18:33,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,3006,GOODFELLOW BLVD,50, , ,5750,NATURAL BRIDGE,884951.7,1036805
19-057119,2019-11,11/13/2019 18:40,Y, , ,1, , 64701,1,LARCENY-FROM MTR VEH UNDER $500,3900,MERAMEC ST,16, , ,3900,MERAMEC,891177.5,1001681
